Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R
Ms,,,,,,,,,
14300.6584,,53883.96,627.6582612,0,0,26553.28,704.8721996,0,0
14310.6659,,53883.96,623.5442228,0,0,26553.28,698.6509674,0,0
14320.6733,,53883.96,622.51449,0,0,26553.28,697.7790224,0,0
14330.6808,,53883.96,618.4368335,0,0,26553.28,690.8184827,0,0
14340.6882,,53883.96,617.2936896,0,0,26553.28,689.7189409,0,0
14350.6957,,53883.96,613.6946431,0,0,26553.28,685.1153259,0,0
14360.7032,,53883.96,612.5442228,0,0,26553.28,683.7703666,0,0
14370.7106,,53883.96,609.5486137,0,0,26553.28,679.4124236,0,0
14380.7181,,53883.96,608.3561661,0,0,26553.28,678.3251018,0,0
14390.7255,,53883.96,605.4797391,0,0,26553.28,672.7342159,0,0
14400.733,,53883.96,603.9045289,0,0,26553.28,672.0644094,0,0
14410.7405,,53883.96,601.6221302,0,0,26553.28,668.2403259,0,0
14420.7479,,53883.96,600.7433195,0,0,26553.28,666.6479124,0,0
14430.7554,,53883.96,597.7791996,0,0,26553.28,662.8862016,0,0
14440.7628,,53883.96,596.6467194,0,0,26553.28,662.2354888,0,0
14450.7703,,53883.96,594.3248024,0,0,26553.28,657.6855906,0,0
14460.7778,,53883.96,593.4540208,0,0,26553.28,657.1059063,0,0
14470.7852,,53883.96,591.7198595,0,0,26553.28,656.5425153,0,0
14480.7927,,53883.96,600.3413624,0,0,26553.28,671.628055,0,0
14490.8001,,53883.96,613.7206122,0,0,26553.28,690.8520876,0,0
14500.8076,,53883.96,631.6307866,0,0,26553.28,717.8169552,0,0
14510.815,,53883.96,650.0634801,0,0,26553.28,743.1438391,0,0
14520.8225,,53883.96,667.819596,0,0,26553.28,769.3322301,0,0
14530.83,,53883.96,684.9850709,0,0,26553.28,793.9691955,0,0
14540.8374,,53883.96,701.1964622,0,0,26553.28,818.6066701,0,0
14550.8449,,53883.96,716.4739681,0,0,26553.28,838.8867108,0,0
14560.8523,,53883.96,728.9136871,0,0,26553.28,859.0947047,0,0
14570.8598,,53883.96,741.2302095,0,0,26553.28,876.5532077,0,0
