Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R
Ms,,,,,,,,,,,,,,,,,
13460.0319,,26620.88,1583.481463,0,0,26614.12,1701.174244,0,0,26769.6,1906.168434,0,0,26843.96,1456.747922,0,0
13470.0393,,26620.88,1562.662265,0,0,26614.12,1677.006096,0,0,26769.6,1875.428535,0,0,26843.96,1437.298917,0,0
13480.0468,,26620.88,1546.828339,0,0,26614.12,1656.567945,0,0,26769.6,1852.762374,0,0,26843.96,1422.761773,0,0
13490.0543,,26620.88,1525.290503,0,0,26614.12,1631.397257,0,0,26769.6,1825.607071,0,0,26843.96,1405.017124,0,0
13500.0617,,26620.88,1507.524378,0,0,26614.12,1611.759716,0,0,26769.6,1802.068687,0,0,26843.96,1389.787459,0,0
13510.0692,,26620.88,1487.064246,0,0,26614.12,1588.776226,0,0,26769.6,1777.294697,0,0,26843.96,1372.878116,0,0
13520.0766,,26620.88,1469.208989,0,0,26614.12,1571.392177,0,0,26769.6,1754.302273,0,0,26843.96,1356.256107,0,0
13530.0841,,26620.88,1450.607923,0,0,26614.12,1548.346457,0,0,26769.6,1729.386616,0,0,26843.96,1341.928733,0,0
13540.0916,,26620.88,1434.57034,0,0,26614.12,1530.345949,0,0,26769.6,1708.199242,0,0,26843.96,1324.946865,0,0
13550.099,,26620.88,1414.753682,0,0,26614.12,1507.96571,0,0,26769.6,1682.22096,0,0,26843.96,1311.204482,0,0
13560.1065,,26620.88,1400.742001,0,0,26614.12,1489.237744,0,0,26769.6,1665.125758,0,0,26843.96,1297.269705,0,0
13570.1139,,26620.88,1383.168106,0,0,26614.12,1471.628651,0,0,26769.6,1639.969949,0,0,26843.96,1283.326618,0,0
13580.1214,,26620.88,1367.499492,0,0,26614.12,1453.180086,0,0,26769.6,1622.590657,0,0,26843.96,1269.832032,0,0
13590.1289,,26620.88,1350.58126,0,0,26614.12,1434.454661,0,0,26769.6,1598.608838,0,0,26843.96,1256.801561,0,0
13600.1363,,26620.88,1336.7613,0,0,26614.12,1417.98984,0,0,26769.6,1581.49697,0,0,26843.96,1242.81239,0,0
13610.1438,,26620.88,1321.473337,0,0,26614.12,1400.497079,0,0,26769.6,1560.67399,0,0,26843.96,1229.920423,0,0
13620.1512,,26620.88,1307.343321,0,0,26614.12,1383.637287,0,0,26769.6,1543.420455,0,0,26843.96,1216.044321,0,0
13630.1587,,26620.88,1291.878111,0,0,26614.12,1368.122682,0,0,26769.6,1523.160606,0,0,26843.96,1205.859481,0,0
13640.1661,,26620.88,1279.633062,0,0,26614.12,1350.508763,0,0,26769.6,1508.031313,0,0,26843.96,1194.124654,0,0
13650.1736,,26620.88,1264.525648,0,0,26614.12,1337.569977,0,0,26769.6,1487.566162,0,0,26843.96,1183.639386,0,0
13660.1811,,26620.88,1251.61097,0,0,26614.12,1319.554737,0,0,26769.6,1472.533081,0,0,26843.96,1170.307227,0,0
13670.1885,,26620.88,1237.719147,0,0,26614.12,1306.906782,0,0,26769.6,1453.059848,0,0,26843.96,1161.767313,0,0
13680.196,,26620.88,1224.468258,0,0,26614.12,1291.979426,0,0,26769.6,1441.305303,0,0,26843.96,1149.985394,0,0
13690.2034,,26620.88,1214.312595,0,0,26614.12,1279.990094,0,0,26769.6,1421.860859,0,0,26843.96,1142.501637,0,0
13700.2109,,26620.88,1201.746826,0,0,26614.12,1264.768352,0,0,26769.6,1408.30202,0,0,26843.96,1129.943339,0,0
13710.2184,,26620.88,1190.814627,0,0,26614.12,1252.744475,0,0,26769.6,1391.639646,0,0,26843.96,1120.830521,0,0
13720.2258,,26620.88,1179.21356,0,0,26614.12,1237.760478,0,0,26769.6,1377.62803,0,0,26843.96,1110.752707,0,0
13730.2333,,26620.88,1169.370747,0,0,26614.12,1227.271273,0,0,26769.6,1361.548485,0,0,26843.96,1103.628557,0,0
13740.2407,,26620.88,1156.854241,0,0,26614.12,1214.11176,0,0,26769.6,1350.548232,0,0,26843.96,1093.911609,0,0
13750.2482,,26620.88,1147.216607,0,0,26614.12,1202.88316,0,0,26769.6,1335.228535,0,0,26843.96,1086.201712,0,0
