Time,Mean1,Mean2
14190.5764,0.8579144673847507,0.8257986710744214
14200.5838,0.8537038074044337,0.8203348329082
14210.5913,0.8496087904385063,0.8149891945767258
14220.5987,0.8456290501894255,0.8097562394373532
14230.6062,0.841766743085759,0.8046522788222393
14240.6137,0.8380268925845956,0.7996993696734132
14250.6211,0.8343935753041529,0.7948955218293043
14260.6286,0.8308603729585156,0.7902433753415912
14270.636,0.8274400203977381,0.7857550852085232
14280.6435,0.8241278495609011,0.7814306182796141
14290.651,0.8209304082733282,0.7772561411604202
14300.6584,0.817867012434836,0.7732246491243728
14310.6659,0.8149381795774422,0.7693464360370972
14320.6733,0.8121430044861411,0.7656316209344487
14330.6808,0.8094927303788778,0.7621027382386181
14340.6882,0.8070098226306128,0.7588116267366165
14350.6957,0.8047200583273014,0.7557876981309193
14360.7032,0.8026519523348593,0.7530401643833238
14370.7106,0.8008359399944731,0.7505962045510571
14380.7181,0.7993070865383521,0.7484937777508863
14390.7255,0.7981176156717563,0.7468104062009268
14400.733,0.7973475394916202,0.7456653661982126
14410.7405,0.7970997667781374,0.7451740454728304
14420.7479,0.7974838642044915,0.7454792928933922
14430.7554,0.7986502685112092,0.7467910358634865
14440.7628,0.8008202460566463,0.7493667341884938
14450.7703,0.8042721256246756,0.7535432490378268
14460.7778,0.8093484137765459,0.7597742277017167
14470.7852,0.816479174366733,0.768574572750836
14480.7927,0.8260132131973723,0.7802762489168606
14490.8001,0.8379308800091062,0.7947684949773995
14500.8076,0.8518465231949675,0.8115579776618509
14510.815,0.8671973136039156,0.8299803413882814
14520.8225,0.8834078010109603,0.8493823632864598
14530.83,0.8999873051095887,0.8692004556274842
14540.8374,0.9165277753879612,0.8889378425673186
14550.8449,0.9326906280371214,0.9081975911262802
14560.8523,0.9482324797779128,0.9267080941590274
14570.8598,0.9630124279333753,0.9442780945456577
14580.8673,0.9769452411595583,0.9607697056240735
14590.8747,0.9899590735612005,0.97611988443291
14600.8822,1.002015435680111,0.99031820677842
14610.8896,1.013133563313609,1.0033728299927138
14620.8971,1.0233370697330622,1.0152943124553913
14630.9046,1.0326393238955016,1.0260617338126232
14640.912,1.0410799106555415,1.0356794910501244
14650.9195,1.048692060079819,1.044205431652838
14660.9269,1.0554909142992164,1.0517214197258489
